dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 week,November,11/01/2024 00:00:00,3.131
1 week,November,11/04/2024 00:00:00,3.129
1 week,November,11/05/2024 00:00:00,3.142
1 week,November,11/06/2024 00:00:00,3.145
1 week,November,11/07/2024 00:00:00,3.134
1 week,November,11/08/2024 00:00:00,3.135
1 week,November,11/11/2024 00:00:00,3.148
1 week,November,11/12/2024 00:00:00,3.145
1 week,November,11/13/2024 00:00:00,3.147
1 week,November,11/14/2024 00:00:00,3.167
1 week,November,11/15/2024 00:00:00,3.172
1 week,November,11/18/2024 00:00:00,3.173
1 week,November,11/19/2024 00:00:00,3.142
1 week,November,11/20/2024 00:00:00,3.157
1 week,November,11/21/2024 00:00:00,3.141
1 week,November,11/22/2024 00:00:00,3.138
1 week,November,11/25/2024 00:00:00,3.166
1 week,November,11/26/2024 00:00:00,3.163
1 week,November,11/27/2024 00:00:00,3.163
1 week,November,11/28/2024 00:00:00,3.152
1 week,November,11/29/2024 00:00:00,3.128
1 week,December,12/02/2024 00:00:00,3.16
1 week,December,12/03/2024 00:00:00,3.116
1 week,December,12/04/2024 00:00:00,3.102
1 week,December,12/05/2024 00:00:00,3.136
1 week,December,12/06/2024 00:00:00,3.142
1 week,December,12/09/2024 00:00:00,3.159
1 week,December,12/10/2024 00:00:00,3.138
1 week,December,12/11/2024 00:00:00,3.09
1 week,December,12/12/2024 00:00:00,3.112
1 week,December,12/13/2024 00:00:00,3.076
1 week,December,12/16/2024 00:00:00,3.095
1 week,December,12/17/2024 00:00:00,3.04
1 week,December,12/18/2024 00:00:00,2.945
1 week,December,12/19/2024 00:00:00,2.895
1 week,December,12/20/2024 00:00:00,2.862
1 week,December,12/23/2024 00:00:00,2.857
1 week,December,12/24/2024 00:00:00,2.878
1 week,December,12/27/2024 00:00:00,2.935
1 week,December,12/30/2024 00:00:00,2.912
1 week,December,12/31/2024 00:00:00,2.924
1 week,January,01/02/2025 00:00:00,2.911
1 week,January,01/03/2025 00:00:00,2.901
1 week,January,01/06/2025 00:00:00,2.898
1 week,January,01/07/2025 00:00:00,2.88
1 week,January,01/08/2025 00:00:00,2.875
1 week,January,01/09/2025 00:00:00,2.904
1 week,January,01/10/2025 00:00:00,2.925
1 week,January,01/13/2025 00:00:00,2.915
1 week,January,01/14/2025 00:00:00,2.926
1 week,January,01/15/2025 00:00:00,2.916
1 week,January,01/16/2025 00:00:00,2.916
1 week,January,01/17/2025 00:00:00,2.915
1 week,January,01/20/2025 00:00:00,2.921
1 week,January,01/21/2025 00:00:00,2.909
1 week,January,01/22/2025 00:00:00,2.921
1 week,January,01/23/2025 00:00:00,2.925
1 week,January,01/24/2025 00:00:00,2.913
1 week,January,01/27/2025 00:00:00,2.903
1 week,January,01/28/2025 00:00:00,2.882
1 week,January,01/29/2025 00:00:00,2.856
1 week,January,01/30/2025 00:00:00,2.849
1 week,January,01/31/2025 00:00:00,2.801
1 week,February,02/03/2025 00:00:00,2.787
1 week,February,02/04/2025 00:00:00,2.722
1 week,February,02/05/2025 00:00:00,2.735
1 week,February,02/06/2025 00:00:00,2.694
1 week,February,02/07/2025 00:00:00,2.694
1 week,February,02/10/2025 00:00:00,2.666
