,1w,1m,3m,6m,12m
1998-12-30,3.252,3.258,3.248,3.23,3.215
1998-12-31,3.244,3.254,3.244,3.232,3.213
1999-01-01,3.244,3.254,3.244,3.232,3.213
1999-01-04,3.248,3.242,3.234,3.223,3.209
1999-01-05,3.24,3.232,3.223,3.203,3.188
1999-01-06,3.24,3.227,3.215,3.197,3.176
1999-01-07,3.236,3.225,3.205,3.18,3.158
1999-01-08,3.232,3.217,3.195,3.166,3.139
1999-01-11,3.232,3.215,3.193,3.156,3.127
1999-01-12,3.227,3.213,3.19,3.152,3.121
1999-01-13,3.215,3.205,3.184,3.14,3.107
1999-01-14,3.2,3.191,3.162,3.121,3.082
1999-01-15,3.16,3.158,3.135,3.086,3.045
1999-01-18,3.11,3.12,3.102,3.057,3.02
1999-01-19,3.06,3.074,3.057,3.018,2.984
1999-01-20,3.06,3.074,3.055,3.014,2.984
1999-01-21,3.07,3.074,3.057,3.018,2.99
1999-01-22,3.092,3.086,3.059,3.018,2.99
1999-01-25,3.123,3.111,3.068,3.016,2.98
1999-01-26,3.18,3.135,3.08,3.02,2.984
1999-01-27,3.146,3.127,3.08,3.02,2.986
1999-01-28,3.14,3.123,3.076,3.018,2.98
1999-01-29,3.137,3.12,3.074,3.012,2.98
1999-02-01,3.145,3.127,3.078,3.018,2.988
1999-02-02,3.158,3.143,3.092,3.027,3.004
1999-02-03,3.17,3.15,3.098,3.035,3.012
1999-02-04,3.174,3.156,3.105,3.043,3.02
1999-02-05,3.17,3.156,3.107,3.045,3.025
1999-02-08,3.168,3.158,3.113,3.053,3.035
1999-02-09,3.164,3.156,3.111,3.055,3.041
1999-02-10,3.156,3.15,3.11,3.053,3.04
1999-02-11,3.148,3.146,3.105,3.05,3.041
1999-02-12,3.135,3.135,3.1,3.049,3.04
1999-02-15,3.123,3.123,3.1,3.049,3.041
1999-02-16,3.104,3.113,3.092,3.045,3.037
1999-02-17,3.088,3.104,3.086,3.04,3.033
1999-02-18,3.08,3.094,3.078,3.035,3.031
1999-02-19,3.082,3.092,3.076,3.033,3.03
1999-02-22,3.088,3.094,3.074,3.03,3.025
1999-02-23,3.105,3.098,3.076,3.025,3.023
1999-02-24,3.115,3.102,3.078,3.027,3.023
1999-02-25,3.12,3.111,3.088,3.037,3.035
1999-02-26,3.127,3.12,3.098,3.055,3.07
1999-03-01,3.129,3.121,3.1,3.059,3.078
1999-03-02,3.135,3.13,3.115,3.1,3.148
1999-03-03,3.123,3.123,3.111,3.1,3.146
1999-03-04,3.111,3.115,3.111,3.102,3.15
1999-03-05,3.105,3.11,3.104,3.092,3.13
1999-03-08,3.096,3.1,3.094,3.068,3.098
1999-03-09,3.088,3.096,3.088,3.06,3.084
1999-03-10,3.072,3.086,3.08,3.055,3.078
1999-03-11,3.06,3.076,3.074,3.05,3.072
1999-03-12,3.035,3.047,3.047,3.023,3.03
1999-03-15,3.021,3.037,3.04,3.016,3.025
1999-03-16,3.02,3.035,3.035,3.016,3.027
1999-03-17,3.04,3.043,3.037,3.018,3.027
1999-03-18,3.031,3.037,3.031,3.01,3.02
1999-03-19,3.016,3.031,3.027,3.004,3.012
1999-03-22,3.018,3.025,3.02,2.998,3.01
1999-03-23,3.025,3.023,3.02,2.998,3.012
1999-03-24,3.021,3.02,3.014,2.994,3.01
1999-03-25,3.014,3.008,2.998,2.975,2.992
1999-03-26,3.014,3.004,2.99,2.967,2.984
1999-03-29,3.012,3.002,2.984,2.963,2.984
1999-03-30,3.012,2.998,2.98,2.955,2.979
1999-03-31,3.012,2.992,2.97,2.95,2.967
1999-04-01,3.002,2.963,2.941,2.92,2.94
